Flux1,Flux2,Flux3,Flux4,Flux5,Flux6,Flux7,Flux8,Flux9,Flux10,Flux11,Flux12,Time,Depths,Mstats
1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,0.0,0.016434271117412802,1.484475536162679
1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,0.02083321695727136,0.05117277803825904,1.490216986916679
1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,0.041666433710815916,0.11288347389167552,1.4951575597769593
1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,0.062499650449808535,0.18341225575918615,1.4978304984438415
1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,0.08333286735364709,0.27447280037658817,1.4987896095321676
1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,0.10416608458922384,0.37704820503667297,1.4980383874042493
1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,0.12499930230978863,0.4933856814435151,1.492327528224948
1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,0.14583252065085614,0.6018470499226127,1.4798411204867883
1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,0.1666657397279323,0.7200152723299729,1.4478591655490556
1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,0.18749895963469496,0.8370292512483254,1.365961269509491
1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,0.20833218044231214,0.9376608610258024,1.0239946200173349
1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,0.2291654021953491,0.9376608610258024,0.5817845745342962
1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,0.24999862491586103,,
1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,0.2708318485972541,,
1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,0.29166507321042445,,
1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,0.31249829869830137,,
1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,0.3333315249815314,,
1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,0.3749979794995397,,
1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,0.3958312074692003,,
1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,0.41666443570602496,,
