Flux1,Flux2,Flux3,Flux4,Flux5,Flux6,Flux7,Flux8,Flux9,Flux10,Flux11,Flux12,Time,Depths,Mstats
1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,1.012745817248283,0.0,0.051828396026022634,1.5130238938335623
1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,1.011068358993436,0.02083321695727136,0.13580057986651428,1.5150383699410823
1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,1.0130190877904015,0.041666433710815916,0.2242801359923056,1.51526807960871
1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,1.0129679506039615,0.062499650449808535,0.3130013722924725,1.5135225989146328
1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,1.010584139746023,0.08333286735364709,0.4055306280205825,1.5092155371597091
1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,1.0120460905988131,0.10416608458922384,0.4959749502615667,1.5015633413203329
1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,1.0132609800629626,0.12499930230978863,0.5892910429145348,1.486628927824161
1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,1.0100205776416185,0.14583252065085614,0.6780784492389054,1.4628714094631192
1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,1.012148530124685,0.1666657397279323,0.7707318919656042,1.4184967656402794
1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,1.0103893465891909,0.18749895963469496,0.8637291591053013,1.330769736297258
1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,1.01207257888698,0.20833218044231214,0.9376608610258024,0.9610148404781726
1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,1.0103948953531408,0.2291654021953491,0.9376608610258024,0.5440197505494613
1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,1.0111595026072824,0.24999862491586103,,
1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,1.0101556448992934,0.2708318485972541,,
1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,1.0124664118960838,0.29166507321042445,,
1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,1.0111721087163998,0.31249829869830137,,
1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,1.0105379583637877,0.3333315249815314,,
1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,1.0092506008718347,0.3749979794995397,,
1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,1.0105209592015971,0.3958312074692003,,
1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,1.011037154132003,0.41666443570602496,,
1.0181330422305588,1.0181330422305588,1.0181330422305588,1.0181330422305588,1.0181330422305588,1.0181330422305588,1.0181330422305588,1.0181330422305588,1.0181330422305588,1.0181330422305588,1.0181330422305588,1.0181330422305588,0.7083295570728296,,
1.0198409005055884,1.0198409005055884,1.0198409005055884,1.0198409005055884,1.0198409005055884,1.0198409005055884,1.0198409005055884,1.0198409005055884,1.0198409005055884,1.0198409005055884,1.0198409005055884,1.0198409005055884,0.7291627684617197,,
1.0150087028429544,1.0150087028429544,1.0150087028429544,1.0150087028429544,1.0150087028429544,1.0150087028429544,1.0150087028429544,1.0150087028429544,1.0150087028429544,1.0150087028429544,1.0150087028429544,1.0150087028429544,0.7499959778285756,,
1.0174704012550675,1.0174704012550675,1.0174704012550675,1.0174704012550675,1.0174704012550675,1.0174704012550675,1.0174704012550675,1.0174704012550675,1.0174704012550675,1.0174704012550675,1.0174704012550675,1.0174704012550675,0.7708291851799913,,
1.0165098285419991,1.0165098285419991,1.0165098285419991,1.0165098285419991,1.0165098285419991,1.0165098285419991,1.0165098285419991,1.0165098285419991,1.0165098285419991,1.0165098285419991,1.0165098285419991,1.0165098285419991,0.7916623905473443,,
1.0134386926746757,1.0134386926746757,1.0134386926746757,1.0134386926746757,1.0134386926746757,1.0134386926746757,1.0134386926746757,1.0134386926746757,1.0134386926746757,1.0134386926746757,1.0134386926746757,1.0134386926746757,0.8124955939908887,,
1.0139272679489846,1.0139272679489846,1.0139272679489846,1.0139272679489846,1.0139272679489846,1.0139272679489846,1.0139272679489846,1.0139272679489846,1.0139272679489846,1.0139272679489846,1.0139272679489846,1.0139272679489846,0.8333287955899777,,
1.0131064789096338,1.0131064789096338,1.0131064789096338,1.0131064789096338,1.0131064789096338,1.0131064789096338,1.0131064789096338,1.0131064789096338,1.0131064789096338,1.0131064789096338,1.0131064789096338,1.0131064789096338,0.8541619954494308,,
1.010269978591137,1.010269978591137,1.010269978591137,1.010269978591137,1.010269978591137,1.010269978591137,1.010269978591137,1.010269978591137,1.010269978591137,1.010269978591137,1.010269978591137,1.010269978591137,0.8749951936936213,,
1.010821313028085,1.010821313028085,1.010821313028085,1.010821313028085,1.010821313028085,1.010821313028085,1.010821313028085,1.010821313028085,1.010821313028085,1.010821313028085,1.010821313028085,1.010821313028085,0.8958283904671589,,
1.007610506722527,1.007610506722527,1.007610506722527,1.007610506722527,1.007610506722527,1.007610506722527,1.007610506722527,1.007610506722527,1.007610506722527,1.007610506722527,1.007610506722527,1.007610506722527,0.9166615859301146,,
1.007653326351469,1.007653326351469,1.007653326351469,1.007653326351469,1.007653326351469,1.007653326351469,1.007653326351469,1.007653326351469,1.007653326351469,1.007653326351469,1.007653326351469,1.007653326351469,0.9374947802543828,,
1.0079603231466672,1.0079603231466672,1.0079603231466672,1.0079603231466672,1.0079603231466672,1.0079603231466672,1.0079603231466672,1.0079603231466672,1.0079603231466672,1.0079603231466672,1.0079603231466672,1.0079603231466672,0.9583279736255008,,
1.005120924880329,1.005120924880329,1.005120924880329,1.005120924880329,1.005120924880329,1.005120924880329,1.005120924880329,1.005120924880329,1.005120924880329,1.005120924880329,1.005120924880329,1.005120924880329,0.9791611662349168,,
1.0067566870857507,1.0067566870857507,1.0067566870857507,1.0067566870857507,1.0067566870857507,1.0067566870857507,1.0067566870857507,1.0067566870857507,1.0067566870857507,1.0067566870857507,1.0067566870857507,1.0067566870857507,0.9999943582768084,,
1.0054504996831604,1.0054504996831604,1.0054504996831604,1.0054504996831604,1.0054504996831604,1.0054504996831604,1.0054504996831604,1.0054504996831604,1.0054504996831604,1.0054504996831604,1.0054504996831604,1.0054504996831604,1.0208275499480806,,
1.0057184306038027,1.0057184306038027,1.0057184306038027,1.0057184306038027,1.0057184306038027,1.0057184306038027,1.0057184306038027,1.0057184306038027,1.0057184306038027,1.0057184306038027,1.0057184306038027,1.0057184306038027,1.0416607414413193,,
1.0045395397083643,1.0045395397083643,1.0045395397083643,1.0045395397083643,1.0045395397083643,1.0045395397083643,1.0045395397083643,1.0045395397083643,1.0045395397083643,1.0045395397083643,1.0045395397083643,1.0045395397083643,1.0624939329456993,,
1.003877604311227,1.003877604311227,1.003877604311227,1.003877604311227,1.003877604311227,1.003877604311227,1.003877604311227,1.003877604311227,1.003877604311227,1.003877604311227,1.003877604311227,1.003877604311227,1.0833271246367528,,
1.0018362433320112,1.0018362433320112,1.0018362433320112,1.0018362433320112,1.0018362433320112,1.0018362433320112,1.0018362433320112,1.0018362433320112,1.0018362433320112,1.0018362433320112,1.0018362433320112,1.0018362433320112,1.1249935092328087,,
