,scores,ranks,min_flux
0,0.0019013251050121998,9249.0,0.051828396026022634
1,0.001791720987869094,10873.0,0.13580057986651428
2,0.0017273980010126188,11990.0,0.2242801359923056
3,0.0015325416247791357,16332.0,0.3130013722924725
4,0.0014449816422034635,19274.0,0.4055306280205825
5,0.0013774346686505352,22123.0,0.4959749502615667
6,0.0013168794839790027,25210.0,0.5892910429145348
7,0.0013021555498169246,26088.0,0.6780784492389054
8,0.0012886576511409633,26863.0,0.7707318919656042
9,0.0011834920841562045,34910.0,0.8637291591053013
10,0.0008291407753399881,119756.0,0.9376608610258024
11,0.00038154228615674604,2571064.0,0.9376608610258024
